Date,Time,Animal,Count
2009-06-07,05:17,Wolverine,15
2009-06-08,19:53,Fox,40
2009-06-08,13:21,Moose,31
2009-06-09,03:38,Fox,30
2009-06-10,15:57,Fox,29
2009-06-11,14:49,Elk,7
2009-06-11,13:48,Elk,36
2009-06-12,19:22,Wolf,1
2009-06-13,16:42,Ptarmigan,21
2009-06-13,19:13,Muskox,9
2009-06-13,05:23,Fox,11
2009-06-14,11:19,Ptarmigan,10
2009-06-15,07:30,Moose,13
2009-06-15,11:11,Elk,18
2009-06-16,08:12,Muskox,37
2009-06-17,19:18,Fox,10
2009-06-18,18:16,Owl,35
2009-06-18,09:50,Muskox,18
2009-06-18,10:56,Elk,23
2009-06-18,16:25,Moose,30
2009-06-19,12:09,Ptarmigan,12
2009-06-19,09:20,Wolf,2
2009-06-20,11:49,Wolf,29
2009-06-21,06:49,Owl,19
2009-06-22,02:02,Wolverine,7
2009-06-23,00:56,Grizzly,14
2009-06-24,01:03,Wolverine,26
2009-06-25,04:01,Elk,3
2009-06-26,18:17,Ptarmigan,9
2009-06-27,19:32,Elk,30
2009-06-27,06:12,Ptarmigan,29
2009-06-27,06:34,Fox,23
2009-06-27,07:40,Ptarmigan,7
2009-06-28,14:27,Owl,14
2009-06-28,19:28,Elk,32
2009-06-29,22:33,Moose,36
2009-06-30,18:41,Moose,29
2009-06-30,22:23,Grizzly,31
2009-07-01,00:55,Wolverine,35
2009-07-02,14:42,Wolverine,35
2009-07-03,23:35,Fox,9
2009-07-03,07:33,Elk,35
2009-07-04,11:22,Wolverine,23
2009-07-04,06:39,Muskox,1
2009-07-04,21:50,Wolverine,8
2009-07-04,17:34,Elk,20
2009-07-04,03:52,Wolf,37
2009-07-04,10:41,Owl,5
2009-07-04,10:55,Elk,28
2009-07-04,14:09,Grizzly,14
2009-07-05,11:20,Fox,40
2009-07-06,17:31,Muskox,38
2009-07-06,08:06,Muskox,33
2009-07-06,19:22,Owl,17
2009-07-07,17:50,Elk,26
2009-07-07,08:16,Ptarmigan,7
2009-07-08,23:32,Muskox,30
2009-07-08,11:17,Owl,40
2009-07-08,03:55,Owl,33
2009-07-08,17:52,Owl,9
2009-07-08,09:19,Wolf,29
2009-07-09,08:50,Fox,32
2009-07-09,00:39,Elk,29
2009-07-10,20:28,Owl,26
2009-07-10,09:36,Muskox,10
2009-07-11,09:43,Wolverine,14
2009-07-12,07:43,Fox,7
2009-07-12,04:53,Owl,25
2009-07-12,23:26,Moose,14
2009-07-12,06:37,Muskox,11
2009-07-13,08:47,Owl,40
2009-07-14,07:57,Muskox,36
2009-07-14,09:21,Elk,42
2009-07-14,03:23,Muskox,14
2009-07-15,18:00,Elk,35
2009-07-16,23:53,Fox,4
2009-07-17,11:30,Moose,5
2009-07-17,14:02,Muskox,41
2009-07-17,22:27,Fox,37
2009-07-18,01:59,Fox,30
2009-07-18,09:55,Muskox,29
2009-07-19,10:05,Ptarmigan,27
2009-07-20,10:11,Grizzly,30
2009-07-20,01:32,Ptarmigan,20
2009-07-21,06:53,Ptarmigan,33
2009-07-21,17:51,Fox,31
2009-07-21,02:44,Moose,27
2009-07-21,09:18,Muskox,22
2009-07-22,16:09,Muskox,5
2009-07-22,11:50,Ptarmigan,33
2009-07-22,02:10,Fox,32
2009-07-23,16:59,Wolverine,26
2009-07-24,23:46,Fox,8
2009-07-25,22:21,Wolverine,4
2009-07-25,03:25,Moose,4
2009-07-25,15:07,Moose,18
2009-07-26,06:31,Moose,4
2009-07-26,06:13,Elk,11
2009-07-27,02:49,Muskox,29
2009-07-28,16:19,Ptarmigan,11
2009-07-28,18:50,Fox,26
2009-07-28,08:45,Ptarmigan,26
2009-07-29,07:50,Muskox,26
2009-07-30,12:37,Grizzly,20
2009-07-30,05:28,Ptarmigan,38
2009-07-30,21:08,Muskox,25
2009-07-31,16:53,Ptarmigan,23
2009-07-31,22:59,Ptarmigan,12
2009-08-01,22:26,Elk,42
2009-08-01,08:12,Moose,19
2009-08-02,00:52,Wolf,20
2009-08-02,12:43,Owl,12
2009-08-02,05:37,Grizzly,24
2009-08-02,00:14,Owl,30
2009-08-02,06:19,Elk,10
2009-08-03,10:00,Elk,5
2009-08-03,06:50,Grizzly,20
2009-08-03,21:45,Owl,39
2009-08-03,07:56,Ptarmigan,2
2009-08-04,07:33,Elk,12
2009-08-04,07:42,Owl,40
2009-08-05,17:13,Wolverine,13
2009-08-06,13:55,Fox,20
2009-08-06,05:28,Muskox,1
2009-08-06,03:42,Wolverine,30
2009-08-07,20:36,Ptarmigan,39
2009-08-07,21:27,Wolverine,3
2009-08-08,12:08,Wolf,27
2009-08-08,05:26,Muskox,27
2009-08-08,12:03,Ptarmigan,29
2009-08-08,00:04,Grizzly,27
2009-08-09,12:32,Wolf,41
2009-08-10,18:10,Muskox,25
2009-08-11,13:07,Wolverine,16
2009-08-11,05:08,Wolverine,11
2009-08-11,02:17,Fox,21
2009-08-11,14:09,Fox,2
2009-08-11,02:44,Wolverine,28
2009-08-12,04:03,Grizzly,24
2009-08-13,09:36,Wolverine,23
2009-08-13,08:00,Moose,33
2009-08-13,06:53,Fox,41
2009-08-14,13:24,Moose,14
2009-08-14,13:01,Fox,41
2009-08-14,02:15,Fox,31
2009-08-14,21:13,Moose,29
2009-08-14,21:12,Moose,18
2009-08-14,10:56,Owl,37
2009-08-14,11:20,Wolverine,39
2009-08-15,07:44,Ptarmigan,10
2009-08-15,07:47,Moose,42
2009-08-15,00:50,Wolf,1
2009-08-16,06:13,Fox,32
2009-08-17,04:49,Wolf,38
2009-08-18,12:08,Moose,27
2009-08-18,01:34,Owl,41
2009-08-19,14:31,Wolf,17
2009-08-20,19:58,Ptarmigan,12
2009-08-20,17:16,Wolverine,2
2009-08-20,14:35,Elk,19
2009-08-20,02:22,Ptarmigan,16
2009-08-21,22:35,Fox,7
2009-08-22,21:01,Fox,8
2009-08-23,10:42,Muskox,35
2009-08-24,08:45,Fox,31
2009-08-24,08:57,Moose,2
2009-08-25,20:39,Grizzly,16
2009-08-26,04:41,Ptarmigan,27
2009-08-26,13:58,Ptarmigan,31
2009-08-26,20:27,Elk,5
2009-08-26,21:17,Moose,12
2009-08-26,16:49,Owl,32
2009-08-26,07:10,Wolverine,32
2009-08-27,14:38,Wolf,25
2009-08-27,17:33,Owl,24
2009-08-27,11:48,Elk,36
2009-08-28,19:14,Ptarmigan,23
2009-08-28,20:37,Wolverine,40
2009-08-29,09:56,Wolf,8
2009-08-29,01:21,Wolverine,36
2009-08-29,23:52,Owl,29
2009-08-30,10:21,Muskox,2
2009-08-31,18:21,Owl,16
2009-09-01,01:04,Wolf,24
2009-09-01,02:04,Moose,40
2009-09-01,19:16,Ptarmigan,14
2009-09-01,08:21,Muskox,34
2009-09-02,02:23,Muskox,33
2009-09-02,21:33,Muskox,19
2009-09-02,11:12,Muskox,12
2009-09-02,18:31,Owl,5
2009-09-03,23:17,Owl,37
2009-09-03,23:38,Grizzly,35
2009-09-03,21:34,Moose,38
2009-09-03,20:37,Grizzly,16
2009-09-03,19:50,Ptarmigan,1
2009-09-03,06:53,Elk,25
2009-09-04,00:15,Fox,16
2009-09-05,22:40,Owl,19
2009-09-05,12:42,Fox,1
2009-09-05,06:04,Ptarmigan,24
2009-09-06,00:48,Ptarmigan,21
2009-09-06,22:53,Muskox,15
2009-09-07,11:19,Moose,42
2009-09-08,23:16,Owl,27
2009-09-09,01:02,Wolverine,27
2009-09-10,19:50,Grizzly,30
2009-09-11,21:14,Muskox,21
2009-09-12,04:53,Elk,14
2009-09-12,17:42,Wolf,11
2009-09-12,21:32,Muskox,23
2009-09-13,18:12,Wolverine,3
2009-09-13,03:10,Moose,32
2009-09-14,17:23,Moose,34
2009-09-15,16:03,Muskox,36
2009-09-15,07:27,Elk,8
2009-09-15,17:09,Elk,42
2009-09-16,20:10,Wolverine,15
2009-09-16,16:23,Grizzly,27
2009-09-16,23:36,Elk,25
2009-09-17,23:11,Owl,21
2009-09-18,11:19,Owl,6
2009-09-19,21:23,Wolverine,41
2009-09-20,19:42,Fox,21
2009-09-20,09:36,Moose,25
2009-09-20,07:22,Ptarmigan,29
2009-09-21,04:52,Wolf,18
2009-09-21,23:33,Ptarmigan,12
2009-09-21,12:55,Wolf,24
2009-09-22,17:44,Grizzly,10
2009-09-22,16:50,Owl,7
2009-09-23,16:57,Elk,5
2009-09-24,23:46,Muskox,21
2009-09-25,10:47,Grizzly,24
2009-09-25,06:42,Moose,13
2009-09-25,05:51,Ptarmigan,23
2009-09-26,21:40,Owl,19
2009-09-26,12:36,Wolverine,27
2009-09-27,10:45,Fox,5
2009-09-27,21:29,Wolf,3
2009-09-28,21:51,Fox,31
2009-09-28,14:36,Wolverine,3
2009-09-29,16:10,Fox,7
2009-09-30,01:38,Elk,25
2009-09-30,22:10,Ptarmigan,13
2009-10-01,10:11,Elk,18
2009-10-01,20:19,Fox,9
2009-10-01,11:25,Fox,2
2009-10-01,02:57,Fox,41
2009-10-01,06:31,Elk,27
2009-10-01,05:17,Muskox,2
2009-10-01,20:57,Wolf,9
2009-10-01,10:35,Moose,4
2009-10-01,09:45,Elk,42
2009-10-01,03:18,Owl,28
2009-10-02,01:44,Muskox,35
2009-10-02,23:18,Moose,18
2009-10-03,13:33,Ptarmigan,29
2009-10-04,06:10,Muskox,26
2009-10-05,12:22,Ptarmigan,6
2009-10-06,05:19,Elk,26
2009-10-06,10:42,Grizzly,41
2009-10-07,07:49,Muskox,26
2009-10-08,18:58,Fox,21
2009-10-08,12:27,Ptarmigan,27
2009-10-09,05:01,Owl,11
2009-10-10,06:41,Wolverine,24
2009-10-11,20:43,Ptarmigan,13
2009-10-11,00:05,Ptarmigan,37
2009-10-12,23:57,Wolverine,33
2009-10-13,12:54,Muskox,8
2009-10-13,12:25,Ptarmigan,32
2009-10-14,03:36,Muskox,23
2009-10-15,04:55,Grizzly,23
2009-10-15,04:52,Elk,41
2009-10-16,22:56,Elk,37
2009-10-16,18:16,Wolf,17
2009-10-16,02:42,Moose,42
2009-10-17,19:35,Muskox,13
2009-10-17,04:50,Elk,28
2009-10-17,21:34,Elk,31
2009-10-17,22:46,Moose,19
2009-10-17,22:59,Wolf,9
2009-10-18,02:03,Fox,36
2009-10-18,04:45,Ptarmigan,27
2009-10-19,07:37,Fox,10
2009-10-19,13:48,Grizzly,35
2009-10-20,14:35,Wolf,38
2009-10-21,23:32,Moose,27
2009-10-21,17:56,Owl,39
2009-10-21,12:21,Muskox,37
2009-10-22,06:40,Ptarmigan,42
2009-10-22,09:37,Wolverine,3
2009-10-23,00:39,Ptarmigan,32
2009-10-23,11:03,Ptarmigan,16
2009-10-24,02:00,Owl,6
2009-10-25,08:18,Owl,22
2009-10-26,05:11,Fox,23
2009-10-27,08:06,Elk,1
2009-10-27,05:55,Moose,2
2009-10-28,11:57,Moose,1
2009-10-28,03:01,Muskox,38
2009-10-29,18:20,Muskox,32
2009-10-30,14:46,Moose,28
2009-10-31,18:29,Ptarmigan,34
2009-10-31,01:19,Fox,7
2009-11-01,15:29,Moose,30
2009-11-01,18:05,Fox,14
2009-11-01,14:47,Grizzly,6
2009-11-01,09:54,Muskox,31
2009-11-02,02:49,Moose,7
2009-11-03,12:32,Elk,25
2009-11-03,14:44,Owl,21
2009-11-04,00:17,Fox,24
2009-11-05,20:46,Wolverine,25
2009-11-05,13:36,Wolverine,12
2009-11-05,18:58,Fox,4
2009-11-06,18:24,Grizzly,22
2009-11-06,14:06,Muskox,17
2009-11-06,08:00,Wolf,7
2009-11-07,23:33,Wolverine,2
2009-11-08,22:41,Wolf,20
2009-11-08,04:21,Ptarmigan,14
2009-11-08,00:12,Grizzly,31
2009-11-09,02:15,Ptarmigan,31
2009-11-09,10:40,Moose,38
2009-11-10,06:17,Ptarmigan,13
2009-11-11,00:20,Grizzly,21
2009-11-12,00:01,Owl,14
2009-11-13,21:22,Grizzly,9
2009-11-13,11:24,Owl,16
2009-11-14,15:30,Fox,6
2009-11-14,18:38,Ptarmigan,36
2009-11-14,01:05,Wolverine,35
2009-11-14,19:01,Ptarmigan,2
2009-11-14,14:25,Owl,42
2009-11-15,02:36,Wolverine,38
2009-11-16,02:54,Grizzly,7
2009-11-17,19:57,Wolverine,37
2009-11-17,18:24,Grizzly,35
2009-11-17,01:34,Fox,14
2009-11-18,13:49,Wolf,5
2009-11-19,15:11,Ptarmigan,22
2009-11-20,16:05,Muskox,34
2009-11-21,08:16,Fox,8
2009-11-21,07:20,Owl,36
2009-11-22,16:04,Wolverine,31
2009-11-22,02:53,Wolf,5
2009-11-22,10:02,Elk,9
2009-11-22,20:24,Moose,7
2009-11-23,11:20,Fox,31
2009-11-24,17:33,Elk,4
2009-11-24,21:25,Muskox,42
2009-11-25,20:16,Wolf,21
2009-11-25,03:08,Muskox,4
2009-11-25,18:05,Elk,20
2009-11-25,18:16,Owl,11
2009-11-25,18:43,Muskox,10
2009-11-26,07:31,Moose,27
2009-11-26,09:03,Elk,9
2009-11-27,05:53,Fox,2
2009-11-27,01:41,Fox,20
2009-11-27,07:51,Moose,10
2009-11-28,02:30,Owl,36
2009-11-29,00:29,Moose,8
2009-11-30,20:08,Wolverine,12
2009-11-30,18:23,Wolf,41
2009-12-01,16:52,Moose,25
2009-12-01,00:12,Wolverine,31
2009-12-02,13:50,Grizzly,21
2009-12-02,15:07,Fox,6
2009-12-03,13:49,Muskox,39
2009-12-03,14:29,Elk,33
2009-12-04,17:00,Wolverine,38
2009-12-05,14:54,Ptarmigan,6
2009-12-05,08:55,Wolf,29
2009-12-05,10:58,Owl,1
2009-12-05,23:58,Grizzly,14
2009-12-06,20:22,Fox,21
2009-12-06,13:43,Ptarmigan,14
2009-12-06,02:14,Elk,9
2009-12-07,19:51,Grizzly,32
2009-12-08,17:58,Owl,7
2009-12-08,05:30,Fox,4
2009-12-09,08:55,Moose,21
2009-12-09,05:44,Fox,20
2009-12-09,19:41,Moose,33
2009-12-09,22:10,Ptarmigan,17
2009-12-10,22:57,Elk,16
2009-12-11,00:44,Wolverine,16
2009-12-11,03:54,Ptarmigan,30
2009-12-12,15:01,Wolf,25
2009-12-13,11:39,Ptarmigan,27
2009-12-14,13:34,Owl,20
2009-12-14,05:21,Wolverine,33
2009-12-15,22:48,Moose,37
2009-12-15,01:49,Muskox,37
2009-12-16,00:17,Ptarmigan,31
2009-12-16,06:07,Wolverine,20
2009-12-17,12:00,Ptarmigan,30
2009-12-17,00:16,Moose,10
2009-12-18,13:27,Muskox,29
2009-12-19,03:39,Grizzly,31
2009-12-20,01:07,Grizzly,15
2009-12-21,12:32,Moose,5
2009-12-22,20:08,Moose,26
2009-12-23,08:13,Grizzly,7
2009-12-23,06:46,Fox,22
2009-12-24,13:32,Ptarmigan,26
2009-12-25,17:48,Elk,28
2009-12-26,14:07,Fox,31
2009-12-27,23:55,Wolverine,31
2009-12-27,22:28,Elk,9
2009-12-28,20:58,Ptarmigan,22
2009-12-29,13:23,Wolverine,6
2009-12-30,12:45,Grizzly,7
2009-12-30,16:17,Wolf,38
2009-12-31,03:00,Owl,39
2010-01-01,02:57,Moose,11
2010-01-02,14:57,Muskox,21
2010-01-03,19:01,Elk,13
2010-01-04,01:30,Owl,7
2010-01-04,08:02,Wolverine,23
2010-01-05,05:33,Owl,9
2010-01-06,13:02,Elk,14
2010-01-06,00:49,Grizzly,41
2010-01-07,02:41,Muskox,9
2010-01-08,23:29,Fox,14
2010-01-09,10:00,Elk,2
2010-01-09,01:11,Owl,22
2010-01-09,09:44,Grizzly,7
2010-01-10,02:53,Wolverine,32
2010-01-10,01:37,Grizzly,8
2010-01-10,09:13,Owl,31
2010-01-10,00:46,Elk,26
2010-01-11,03:29,Muskox,27
2010-01-11,06:16,Grizzly,18
2010-01-11,12:38,Muskox,21
2010-01-11,17:18,Wolf,17
2010-01-12,17:01,Muskox,22
2010-01-13,15:17,Wolf,14
2010-01-14,22:47,Elk,18
2010-01-14,23:51,Fox,41
2010-01-15,04:31,Wolverine,21
2010-01-16,00:34,Moose,41
2010-01-16,15:19,Elk,26
2010-01-17,20:27,Fox,4
2010-01-18,12:14,Fox,28
2010-01-19,07:12,Fox,14
2010-01-19,06:16,Owl,30
2010-01-20,12:00,Wolf,9
2010-01-20,10:45,Muskox,6
2010-01-21,11:08,Muskox,22
2010-01-21,11:29,Moose,21
2010-01-22,12:19,Muskox,30
2010-01-22,06:04,Wolverine,18
2010-01-23,07:54,Moose,14
2010-01-24,03:20,Ptarmigan,42
2010-01-24,21:42,Owl,34
2010-01-25,15:15,Owl,1
2010-01-26,09:19,Grizzly,4
2010-01-26,04:58,Moose,13
2010-01-27,00:52,Elk,15
2010-01-27,16:00,Wolf,8
2010-01-27,23:57,Wolverine,40
2010-01-27,11:07,Moose,24
2010-01-27,18:09,Wolverine,39
2010-01-28,03:26,Ptarmigan,5
2010-01-28,12:22,Owl,10
2010-01-29,01:31,Elk,14
2010-01-29,10:03,Grizzly,32
2010-01-30,08:40,Ptarmigan,27
2010-01-31,07:24,Moose,38
2010-01-31,20:42,Ptarmigan,8
2010-01-31,13:30,Wolverine,6
2010-02-01,16:11,Wolverine,38
2010-02-02,12:53,Fox,41
2010-02-03,04:09,Ptarmigan,16
2010-02-03,23:42,Moose,3
2010-02-03,13:02,Wolverine,27
2010-02-03,14:42,Ptarmigan,22
2010-02-03,17:57,Owl,31
2010-02-04,11:57,Elk,11
2010-02-04,12:56,Wolverine,40
2010-02-04,12:05,Ptarmigan,20
2010-02-04,07:12,Wolverine,13
2010-02-04,13:40,Elk,9
2010-02-05,21:30,Wolf,10
2010-02-06,05:20,Ptarmigan,30
2010-02-06,12:37,Owl,5
2010-02-07,04:04,Wolf,33
2010-02-08,12:56,Grizzly,20
2010-02-09,05:07,Owl,21
2010-02-10,00:31,Wolf,10
2010-02-11,20:31,Wolf,16
2010-02-12,02:54,Ptarmigan,18
2010-02-13,04:07,Elk,16
2010-02-13,01:39,Moose,37
2010-02-14,00:36,Grizzly,32
2010-02-14,08:33,Fox,2
2010-02-15,23:40,Moose,30
2010-02-15,05:02,Grizzly,1
2010-02-15,10:56,Wolverine,1
2010-02-16,14:59,Elk,7
2010-02-16,03:55,Muskox,31
2010-02-16,00:05,Muskox,20
2010-02-17,15:51,Owl,8
2010-02-17,21:01,Muskox,8
2010-02-18,21:52,Moose,35
2010-02-19,17:09,Grizzly,5
2010-02-20,07:50,Wolf,27
2010-02-20,21:11,Elk,8
2010-02-21,19:10,Grizzly,32
2010-02-22,12:55,Owl,29
2010-02-23,05:00,Owl,19
2010-02-24,10:58,Wolf,14
2010-02-25,15:29,Owl,33
2010-02-25,20:29,Elk,26
2010-02-26,17:47,Wolf,12
2010-02-27,23:03,Ptarmigan,41
2010-02-27,12:14,Ptarmigan,40
2010-02-28,01:05,Wolverine,17
2010-03-01,18:42,Wolf,29
2010-03-01,16:14,Elk,15
2010-03-01,03:45,Ptarmigan,23
2010-03-01,10:40,Elk,2
2010-03-02,14:24,Owl,20
2010-03-03,21:41,Elk,2
2010-03-04,19:57,Wolverine,26
2010-03-05,19:25,Muskox,17
2010-03-06,03:28,Wolf,14
2010-03-06,17:00,Fox,6
2010-03-06,19:16,Owl,2
2010-03-07,16:53,Ptarmigan,41
2010-03-07,18:59,Wolf,29
2010-03-08,09:33,Moose,38
2010-03-08,22:19,Ptarmigan,32
2010-03-09,23:54,Ptarmigan,7
2010-03-09,09:31,Elk,23
2010-03-10,18:33,Moose,10
2010-03-10,07:33,Wolverine,26
2010-03-11,06:22,Wolf,33
2010-03-11,01:28,Wolverine,10
2010-03-12,19:29,Owl,36
2010-03-12,19:44,Wolverine,19
2010-03-12,22:25,Elk,30
2010-03-12,13:06,Owl,37
2010-03-12,23:08,Moose,31
2010-03-13,10:21,Elk,24
2010-03-13,05:45,Muskox,9
2010-03-13,05:44,Muskox,40
2010-03-13,11:10,Fox,5
2010-03-14,19:02,Muskox,6
2010-03-14,20:27,Owl,35
2010-03-14,05:48,Wolverine,37
2010-03-14,14:14,Fox,20
2010-03-14,22:30,Elk,5
2010-03-15,13:12,Muskox,34
2010-03-15,11:02,Fox,2
2010-03-15,23:52,Grizzly,10
2010-03-16,16:10,Elk,14
2010-03-17,04:01,Wolverine,10
2010-03-17,01:55,Wolf,12
2010-03-17,20:53,Wolverine,4
2010-03-17,20:09,Wolf,21
2010-03-17,07:10,Ptarmigan,17
2010-03-18,21:54,Wolf,35
2010-03-19,15:10,Elk,41
2010-03-20,11:12,Wolf,20
2010-03-20,03:34,Grizzly,24
2010-03-21,09:25,Owl,7
2010-03-22,07:13,Elk,21
2010-03-22,18:21,Wolf,24
2010-03-23,07:44,Owl,34
2010-03-24,13:22,Grizzly,24
2010-03-25,13:09,Fox,17
2010-03-26,08:38,Moose,36
2010-03-26,18:42,Wolf,19
2010-03-27,10:50,Ptarmigan,13
2010-03-28,09:27,Elk,28
2010-03-29,16:56,Ptarmigan,14
2010-03-29,03:59,Ptarmigan,23
2010-03-30,02:47,Moose,42
2010-03-31,10:06,Muskox,27
2010-03-31,06:58,Wolverine,9
2010-04-01,12:06,Muskox,33
2010-04-02,22:24,Fox,39
2010-04-02,05:40,Fox,22
2010-04-03,23:11,Wolf,23
2010-04-03,22:27,Wolf,23
2010-04-04,11:33,Fox,31
2010-04-05,06:48,Wolf,27
2010-04-05,10:16,Grizzly,13
2010-04-05,00:46,Owl,17
2010-04-05,07:24,Grizzly,38
2010-04-06,18:22,Fox,36
2010-04-07,05:28,Wolverine,22
2010-04-08,01:30,Moose,23
2010-04-08,09:11,Elk,37
2010-04-09,17:25,Moose,2
2010-04-09,22:17,Elk,26
2010-04-10,13:57,Grizzly,30
2010-04-10,22:20,Elk,39
2010-04-10,02:20,Fox,30
2010-04-11,06:17,Owl,28
2010-04-11,18:47,Grizzly,35
2010-04-12,15:48,Moose,33
2010-04-13,03:37,Wolverine,1
2010-04-14,12:26,Wolf,28
2010-04-15,10:53,Owl,27
2010-04-15,16:50,Moose,12
2010-04-16,01:05,Owl,23
2010-04-17,16:44,Fox,24
2010-04-18,22:41,Grizzly,25
2010-04-19,12:16,Muskox,32
2010-04-19,00:34,Grizzly,1
2010-04-19,08:37,Grizzly,28
2010-04-19,12:15,Grizzly,36
2010-04-19,23:35,Wolverine,29
2010-04-20,01:48,Moose,25
2010-04-21,17:15,Wolf,31
2010-04-21,01:54,Fox,4
2010-04-21,06:45,Owl,9
2010-04-22,19:25,Fox,4
2010-04-22,18:43,Ptarmigan,21
2010-04-22,04:06,Owl,16
2010-04-23,18:20,Elk,21
2010-04-23,13:00,Wolf,14
2010-04-24,23:20,Wolf,33
2010-04-24,19:23,Grizzly,3
2010-04-24,05:22,Muskox,3
2010-04-25,04:09,Owl,8
2010-04-26,22:51,Ptarmigan,15
2010-04-27,14:06,Fox,10
2010-04-28,15:27,Muskox,6
2010-04-28,06:32,Muskox,23
2010-04-28,01:34,Elk,34
2010-04-29,08:50,Ptarmigan,13
2010-04-29,03:11,Wolf,36
2010-04-29,05:31,Owl,34
2010-04-29,00:32,Fox,35
2010-04-30,23:02,Fox,2
2010-04-30,06:28,Grizzly,23
2010-04-30,06:25,Wolverine,6
2010-04-30,21:16,Muskox,9
2010-05-01,23:48,Moose,9
2010-05-02,12:37,Fox,41
2010-05-02,07:12,Wolf,8
2010-05-02,21:16,Grizzly,38
2010-05-02,17:05,Owl,38
2010-05-02,00:19,Grizzly,34
2010-05-02,06:21,Ptarmigan,29
2010-05-02,21:13,Moose,29
2010-05-02,21:04,Moose,41
