name,mass,radius,period,axis,eccentricity,inclination,angular_distance,publication_status, discovered,updated,omega,tperi,detection_type,molecules,star.name,ra,dec,star.magnitude_v,star.magnitude_i,star.magnitude_j,star.magnitude_h,star.magnitude_k,star.distance,star.metallicity, star.mass,star.radius,star.spec_type,star.age,star.teff
Kepler-57b,0.31,0.2,5.7293196,,,,,R,2012,2012-09-03,,,detected by transit,,Kepler-57,19:34:34.0,+44:39:25,15.5,,,,,,,0.83,0.73,,,5145.0
Kepler-57c,0.017,0.14,11.6092567,,,,,R,2012,2012-09-03,,,detected by transit,,Kepler-57,19:34:34.0,+44:39:25,15.5,,,,,,,0.83,0.73,,,5145.0
Kepler-58b,0.086,0.25,10.2184954,,,,,R,2012,2012-09-03,,,detected by transit,,Kepler-58,19:45:26.0,+39:06:55,15.3,,,,,,,0.95,1.03,,,5843.0
Kepler-58c,0.13,0.26,15.5741568,,,,,R,2012,2012-09-03,,,detected by transit,,Kepler-58,19:45:26.0,+39:06:55,15.3,,,,,,,0.95,1.03,,,5843.0
Kepler-59b,,0.098,11.8681707,,,,,R,2012,2012-09-03,,,detected by transit,,Kepler-59,19:08:09.0,+46:38:24,14.8,,,,,,,1.04,0.94,,,6074.0
Kepler-59c,,0.18,17.9801235,,,,,R,2012,2012-09-03,,,detected by transit,,Kepler-59,19:08:09.0,+46:38:24,14.8,,,,,,,1.04,0.94,,,6074.0
Kepler-6 b,0.669,1.323,3.234723,0.04567,0.0,86.8,,R,2010,2011-12-01,,,detected by transit,,Kepler-6,19:47:21.0,+48:14:24,,,,,,,0.34,1.209,1.391,,3.8,5647.0
Kepler-60b,,0.2,7.1316185,,,,,R,2012,2012-09-03,,,detected by transit,,Kepler-60,19:15:51.0,+42:15:54,14.5,,,,,,,1.1,1.5,,,5915.0
Kepler-60c,,0.22,8.9193459,,,,,R,2012,2012-09-03,,,detected by transit,,Kepler-60,19:15:51.0,+42:15:54,14.5,,,,,,,1.1,1.5,,,5915.0
Kepler-60d,,0.23,11.9016171,,,,,R,2012,2012-09-03,,,detected by transit,,Kepler-60,19:15:51.0,+42:15:54,14.5,,,,,,,1.1,1.5,,,5915.0
Kepler-7 b,0.433,1.614,4.885525,0.06246,0.1,85.18,,R,2010,2011-05-27,357.1,,detected by transit,,Kepler-7,19:14:20.0,+41:05:23,,,,,,,0.11,1.36,2.02,,3.5,5933.0
Kepler-8 b,0.603,1.419,3.52254,0.0483,0.0,84.07,3.6e-05,C,2010,2012-07-05,,,detected by transit,,Kepler-8,18:45:09.0,+42:27:04,13.9,,,,,1330.0,-0.055,1.213,1.486,,3.84,6213.0
Kepler-9 b,0.252,0.842,19.243158,0.14,,88.55,,R,2010,2010-09-09,,,detected by transit,,Kepler-9,19:02:18.0,+38:24:03,13.9,,,,,,0.17,1.0,1.1,,3.0,5722.0
Kepler-9 c,0.171,0.823,38.90861,0.225,,88.12,,R,2010,2010-09-09,,,detected by transit,,Kepler-9,19:02:18.0,+38:24:03,13.9,,,,,,0.17,1.0,1.1,,3.0,5722.0
Kepler-9 d,0.022,0.147,1.592851,0.0273,,,,R,2010,2010-11-23,,,detected by transit,,Kepler-9,19:02:18.0,+38:24:03,13.9,,,,,,0.17,1.0,1.1,,3.0,5722.0
