Athlete	Age	Country	Year	Closing_Ceremony_Date	Sport	Gold_Medals	Silver_Medals	Bronze_Medals	Total_Medals
Stefania_Belmondo	33	Italy	2002	2/24/02	Cross_Country_Skiing	1	1	1	3
Yuliya_Chepalova	25	Russia	2002	2/24/02	Cross_Country_Skiing	1	1	1	3
Frode_Estil	29	Norway	2002	2/24/02	Cross_Country_Skiing	2	1	0	3
Bente_Skari-Martinsen	29	Norway	2002	2/24/02	Cross_Country_Skiing	1	1	1	3
Magdalena_Neuner	23	Germany	2010	2/28/10	Biathlon	2	1	0	3
Emil_Hegle_Svendsen	24	Norway	2010	2/28/10	Biathlon	2	1	0	3
Albina_Akhatova	29	Russia	2006	2/26/06	Biathlon	1	0	2	3
Ole_Einar_Bjørndalen	32	Norway	2006	2/26/06	Biathlon	0	2	1	3
Sven_Fischer	34	Germany	2006	2/26/06	Biathlon	2	0	1	3
Martina_Glagow-Beck	26	Germany	2006	2/26/06	Biathlon	0	3	0	3
Michael_Greis	29	Germany	2006	2/26/06	Biathlon	3	0	0	3
Kati_Wilhelm	29	Germany	2006	2/26/06	Biathlon	1	2	0	3
Kati_Wilhelm	25	Germany	2002	2/24/02	Biathlon	2	1	0	3
Yohan_Blake	22	Jamaica	2012	8/12/12	Athletics	1	2	0	3
Usain_Bolt	25	Jamaica	2012	8/12/12	Athletics	3	0	0	3
Allyson_Felix	26	United_States	2012	8/12/12	Athletics	3	0	0	3
Shelly-Ann_Fraser-Pryce	25	Jamaica	2012	8/12/12	Athletics	1	2	0	3
Carmelita_Jeter	32	United_States	2012	8/12/12	Athletics	1	1	1	3
Usain_Bolt	21	Jamaica	2008	8/24/08	Athletics	3	0	0	3
Veronica_Campbell-Brown	22	Jamaica	2004	8/29/04	Athletics	2	0	1	3
Justin_Gatlin	22	United_States	2004	8/29/04	Athletics	1	1	1	3
Bode_Miller	32	United_States	2010	2/28/10	Alpine_Skiing	1	1	1	3
Aksel_Lund_Svindal	27	Norway	2010	2/28/10	Alpine_Skiing	1	1	1	3
Anja_Pärson	24	Sweden	2006	2/26/06	Alpine_Skiing	1	0	2	3
Stephan_Eberharter	32	Austria	2002	2/24/02	Alpine_Skiing	1	1	1	3
Ding_Ning	22	China	2012	8/12/12	Table_Tennis	1	1	0	2
Feng_Tian_Wei	25	Singapore	2012	8/12/12	Table_Tennis	0	0	2	2
Li_Xiaoxia	24	China	2012	8/12/12	Table_Tennis	2	0	0	2
Dmitrij_Ovtcharov	23	Germany	2012	8/12/12	Table_Tennis	0	0	2	2
Wang_Hao	28	China	2012	8/12/12	Table_Tennis	1	1	0	2
Zhang_Jike	24	China	2012	8/12/12	Table_Tennis	2	0	0	2
Guo_Yue	20	China	2008	8/24/08	Table_Tennis	1	0	1	2
Ma_Lin	28	China	2008	8/24/08	Table_Tennis	2	0	0	2
Wang_Hao	24	China	2008	8/24/08	Table_Tennis	1	1	0	2
Wang_Liqin	30	China	2008	8/24/08	Table_Tennis	1	0	1	2
Wang_Nan	29	China	2008	8/24/08	Table_Tennis	1	1	0	2
Zhang_Yining	26	China	2008	8/24/08	Table_Tennis	2	0	0	2
Zhang_Yining	22	China	2004	8/29/04	Table_Tennis	2	0	0	2
Kong_Linghui	24	China	2000	10/1/00	Table_Tennis	1	1	0	2
Li_Ju	24	China	2000	10/1/00	Table_Tennis	1	1	0	2
Liu_Guoliang	24	China	2000	10/1/00	Table_Tennis	0	1	1	2
Wang_Nan	21	China	2000	10/1/00	Table_Tennis	2	0	0	2
Viktoriya_Azarenko	22	Belarus	2012	8/12/12	Tennis	1	0	1	2
Mike_Bryan	34	United_States	2012	8/12/12	Tennis	1	0	1	2
Andy_Murray	25	Great_Britain	2012	8/12/12	Tennis	1	1	0	2
Serena_Williams	30	United_States	2012	8/12/12	Tennis	2	0	0	2
Fernando_González	24	Chile	2004	8/29/04	Tennis	1	0	1	2
Nicolás_Massú	26	Chile	2004	8/29/04	Tennis	2	0	0	2
Venus_Williams	20	United_States	2000	10/1/00	Tennis	2	0	0	2
Ona_Carbonell	22	Spain	2012	8/12/12	Synchronized_Swimming	0	1	1	2
Andrea_Fuentes	29	Spain	2012	8/12/12	Synchronized_Swimming	0	1	1	2
Huang_Xuechen	22	China	2012	8/12/12	Synchronized_Swimming	0	1	1	2
Nataliya_Ishchenko	26	Russia	2012	8/12/12	Synchronized_Swimming	2	0	0	2
Liu_Ou	25	China	2012	8/12/12	Synchronized_Swimming	0	1	1	2
Svetlana_Romashina	22	Russia	2012	8/12/12	Synchronized_Swimming	2	0	0	2
Anastasiya_Davydova	25	Russia	2008	8/24/08	Synchronized_Swimming	2	0	0	2
Andrea_Fuentes	25	Spain	2008	8/24/08	Synchronized_Swimming	0	2	0	2
Gemma_Mengual	31	Spain	2008	8/24/08	Synchronized_Swimming	0	2	0	2
Anastasiya_Yermakova	25	Russia	2008	8/24/08	Synchronized_Swimming	2	0	0	2
Alison_Bartosik	21	United_States	2004	8/29/04	Synchronized_Swimming	0	0	2	2
Anastasiya_Davydova	21	Russia	2004	8/29/04	Synchronized_Swimming	2	0	0	2
Anna_Kozlova	31	United_States	2004	8/29/04	Synchronized_Swimming	0	0	2	2
Miya_Tachibana	29	Japan	2004	8/29/04	Synchronized_Swimming	0	2	0	2
Miho_Takeda	27	Japan	2004	8/29/04	Synchronized_Swimming	0	2	0	2
Anastasiya_Yermakova	21	Russia	2004	8/29/04	Synchronized_Swimming	2	0	0	2
Olga_Brusnikina	21	Russia	2000	10/1/00	Synchronized_Swimming	2	0	0	2
Mariya_Kiselyova	25	Russia	2000	10/1/00	Synchronized_Swimming	2	0	0	2
Miya_Tachibana	25	Japan	2000	10/1/00	Synchronized_Swimming	0	2	0	2
Miho_Takeda	24	Japan	2000	10/1/00	Synchronized_Swimming	0	2	0	2
Becky_Adlington	23	Great_Britain	2012	8/12/12	Swimming	0	0	2	2
Bronte_Barratt	23	Australia	2012	8/12/12	Swimming	0	1	1	2
Elizabeth_Beisel	19	United_States	2012	8/12/12	Swimming	0	1	1	2
Mireia_Belmonte	21	Spain	2012	8/12/12	Swimming	0	2	0	2
Ricky_Berens	24	United_States	2012	8/12/12	Swimming	1	1	0	2
Aleksandra_Gerasimenya	26	Belarus	2012	8/12/12	Swimming	0	2	0	2
Brendan_Hansen	30	United_States	2012	8/12/12	Swimming	1	0	1	2
Jessica_Hardy	25	United_States	2012	8/12/12	Swimming	1	0	1	2
Chad_le_Clos	20	South_Africa	2012	8/12/12	Swimming	1	1	0	2
Clément_Lefert	24	France	2012	8/12/12	Swimming	1	1	0	2
Amaury_Leveaux	26	France	2012	8/12/12	Swimming	1	1	0	2
James_Magnussen	21	Australia	2012	8/12/12	Swimming	0	1	1	2
Takeshi_Matsuda	28	Japan	2012	8/12/12	Swimming	0	1	1	2
Oussama_Mellouli	28	Tunisia	2012	8/12/12	Swimming	1	0	1	2
Park_Tae-Hwan	22	South_Korea	2012	8/12/12	Swimming	0	2	0	2
Christian_Sprenger	26	Australia	2012	8/12/12	Swimming	0	1	1	2
Jeremy_Stravius	24	France	2012	8/12/12	Swimming	1	1	0	2
Aya_Terakawa	27	Japan	2012	8/12/12	Swimming	0	0	2	2
Nick_Thoman	26	United_States	2012	8/12/12	Swimming	1	1	0	2
Marleen_Veldhuis	33	Netherlands	2012	8/12/12	Swimming	0	1	1	2
Ye_Shiwen	16	China	2012	8/12/12	Swimming	2	0	0	2
Becky_Adlington	19	Great_Britain	2008	8/24/08	Swimming	2	0	0	2
Leith_Brodie	22	Australia	2008	8/24/08	Swimming	0	0	2	2
Cate_Campbell	16	Australia	2008	8/24/08	Swimming	0	0	2	2
César_Cielo_Filho	21	Brazil	2008	8/24/08	Swimming	1	0	1	2
Hugues_Duboscq	26	France	2008	8/24/08	Swimming	0	0	2	2
Felicity_Galvez	23	Australia	2008	8/24/08	Swimming	2	0	0	2
Grant_Hackett	28	Australia	2008	8/24/08	Swimming	0	1	1	2
Kara_Lynn_Joyce	22	United_States	2008	8/24/08	Swimming	0	2	0	2
Amaury_Leveaux	22	France	2008	8/24/08	Swimming	0	2	0	2
Christine_Magnuson	22	United_States	2008	8/24/08	Swimming	0	2	0	2
Patrick_Murphy	24	Australia	2008	8/24/08	Swimming	0	0	2	2
Park_Tae-Hwan	18	South_Korea	2008	8/24/08	Swimming	1	1	0	2
Shayne_Reese	25	Australia	2008	8/24/08	Swimming	1	0	1	2
Brenton_Rickard	24	Australia	2008	8/24/08	Swimming	0	2	0	2
Mel_Schlanger	21	Australia	2008	8/24/08	Swimming	1	0	1	2
Julia_Smit	20	United_States	2008	8/24/08	Swimming	0	1	1	2
Britta_Steffen	24	Germany	2008	8/24/08	Swimming	2	0	0	2
Hayden_Stoeckel	24	Australia	2008	8/24/08	Swimming	0	1	1	2
Matt_Targett	22	Australia	2008	8/24/08	Swimming	0	1	1	2
Peter_Vanderkaay	24	United_States	2008	8/24/08	Swimming	1	0	1	2
Arkady_Vyachanin	24	Russia	2008	8/24/08	Swimming	0	0	2	2
Garrett_Weber-Gale	23	United_States	2008	8/24/08	Swimming	2	0	0	2
Lindsay_Benko	27	United_States	2004	8/29/04	Swimming	1	1	0	2
Gary_Hall_Jr.	29	United_States	2004	8/29/04	Swimming	1	0	1	2
Brooke_Hanson	26	Australia	2004	8/29/04	Swimming	1	1	0	2
Kara_Lynn_Joyce	18	United_States	2004	8/29/04	Swimming	0	2	0	2
Klete_Keller	22	United_States	2004	8/29/04	Swimming	1	0	1	2
Yana_Klochkova	22	Ukraine	2004	8/29/04	Swimming	2	0	0	2
Rachel_Komisarz	27	United_States	2004	8/29/04	Swimming	1	1	0	2
Libby_Lenton-Trickett	19	Australia	2004	8/29/04	Swimming	1	0	1	2
Jason_Lezak	28	United_States	2004	8/29/04	Swimming	1	0	1	2
Ryan_Lochte	20	United_States	2004	8/29/04	Swimming	1	1	0	2
Alice_Mills	18	Australia	2004	8/29/04	Swimming	2	0	0	2
Tomomi_Morita	19	Japan	2004	8/29/04	Swimming	0	0	2	2
Markus_Rogan	22	Austria	2004	8/29/04	Swimming	0	2	0	2
Jenny_Thompson	31	United_States	2004	8/29/04	Swimming	0	2	0	2
Franziska_van_Almsick	26	Germany	2004	8/29/04	Swimming	0	0	2	2
Neil_Walker	28	United_States	2004	8/29/04	Swimming	1	0	1	2
Amanda_Weir	18	United_States	2004	8/29/04	Swimming	0	2	0	2
Takashi_Yamamoto	26	Japan	2004	8/29/04	Swimming	0	1	1	2
Brooke_Bennett	20	United_States	2000	10/1/00	Swimming	2	0	0	2
Beatrice_Coada-Caslaru	25	Romania	2000	10/1/00	Swimming	0	1	1	2
Josh_Davis	28	United_States	2000	10/1/00	Swimming	0	2	0	2
Tom_Dolan	25	United_States	2000	10/1/00	Swimming	1	1	0	2
Anthony_Ervin	19	United_States	2000	10/1/00	Swimming	1	1	0	2
Domenico_Fioravanti	23	Italy	2000	10/1/00	Swimming	2	0	0	2
Grant_Hackett	20	Australia	2000	10/1/00	Swimming	2	0	0	2
Geoff_Huegill	21	Australia	2000	10/1/00	Swimming	0	1	1	2
Leisel_Jones	15	Australia	2000	10/1/00	Swimming	0	2	0	2
Klete_Keller	18	United_States	2000	10/1/00	Swimming	0	1	1	2
Jason_Lezak	24	United_States	2000	10/1/00	Swimming	1	1	0	2
Diana_Mocanu	16	Romania	2000	10/1/00	Swimming	2	0	0	2
Martina_Moravcová	24	Slovakia	2000	10/1/00	Swimming	0	2	0	2
Ed_Moses	20	United_States	2000	10/1/00	Swimming	1	1	0	2
Diana_Munz	18	United_States	2000	10/1/00	Swimming	1	1	0	2
Mai_Nakamura	21	Japan	2000	10/1/00	Swimming	0	1	1	2
Todd_Pearson	22	Australia	2000	10/1/00	Swimming	2	0	0	2
Adam_Pine	24	Australia	2000	10/1/00	Swimming	1	1	0	2
Claudia_Poll	27	Costa_Rica	2000	10/1/00	Swimming	0	0	2	2
Megan_Quann-Jendrick	16	United_States	2000	10/1/00	Swimming	2	0	0	2
Giaan_Rooney	17	Australia	2000	10/1/00	Swimming	0	2	0	2
Courtney_Shealy	22	United_States	2000	10/1/00	Swimming	2	0	0	2
Ashley_Tappin	25	United_States	2000	10/1/00	Swimming	2	0	0	2
Stev_Theloke	22	Germany	2000	10/1/00	Swimming	0	0	2	2
Amy_Van_Dyken	27	United_States	2000	10/1/00	Swimming	2	0	0	2
Neil_Walker	24	United_States	2000	10/1/00	Swimming	1	1	0	2
J._R._Celski	19	United_States	2010	2/28/10	Short-Track_Speed_Skating	0	0	2	2
Charles_Hamelin	25	Canada	2010	2/28/10	Short-Track_Speed_Skating	2	0	0	2
Lee_Ho-Seok	23	South_Korea	2010	2/28/10	Short-Track_Speed_Skating	0	2	0	2
Park_Seung-Hui	17	South_Korea	2010	2/28/10	Short-Track_Speed_Skating	0	0	2	2
Katherine_Reutter	21	United_States	2010	2/28/10	Short-Track_Speed_Skating	0	1	1	2
Seong_Si-Baek	22	South_Korea	2010	2/28/10	Short-Track_Speed_Skating	0	2	0	2
Marianne_St-Gelais	19	Canada	2010	2/28/10	Short-Track_Speed_Skating	0	2	0	2
François-Louis_Tremblay	29	Canada	2010	2/28/10	Short-Track_Speed_Skating	1	0	1	2
Zhou_Yang	18	China	2010	2/28/10	Short-Track_Speed_Skating	2	0	0	2
Choi_Eun-Gyeong	21	South_Korea	2006	2/26/06	Short-Track_Speed_Skating	1	1	0	2
Anouk_Leblanc-Boucher	21	Canada	2006	2/26/06	Short-Track_Speed_Skating	0	1	1	2
François-Louis_Tremblay	25	Canada	2006	2/26/06	Short-Track_Speed_Skating	0	2	0	2
Choi_Eun-Gyeong	17	South_Korea	2002	2/24/02	Short-Track_Speed_Skating	1	1	0	2
Go_Gi-Hyeon	15	South_Korea	2002	2/24/02	Short-Track_Speed_Skating	1	1	0	2
Jonathan_Guilmette	23	Canada	2002	2/24/02	Short-Track_Speed_Skating	1	1	0	2
Li_Jiajun	26	China	2002	2/24/02	Short-Track_Speed_Skating	0	1	1	2
Apolo_Anton_Ohno	19	United_States	2002	2/24/02	Short-Track_Speed_Skating	1	1	0	2
Evgeniya_Radanova	24	Bulgaria	2002	2/24/02	Short-Track_Speed_Skating	0	1	1	2
Mathieu_Turcotte	25	Canada	2002	2/24/02	Short-Track_Speed_Skating	1	0	1	2
Wang_Chunlu	23	China	2002	2/24/02	Short-Track_Speed_Skating	0	1	1	2
Yang_Yang_(S)	24	China	2002	2/24/02	Short-Track_Speed_Skating	0	1	1	2
Shani_Davis	27	United_States	2010	2/28/10	Speed_Skating	1	1	0	2
Kristina_Groves	33	Canada	2010	2/28/10	Speed_Skating	0	1	1	2
Chad_Hedrick	32	United_States	2010	2/28/10	Speed_Skating	0	1	1	2
Sven_Kramer	23	Netherlands	2010	2/28/10	Speed_Skating	1	0	1	2
Lee_Seung-Hun	21	South_Korea	2010	2/28/10	Speed_Skating	1	1	0	2
Mo_Tae-Beom	21	South_Korea	2010	2/28/10	Speed_Skating	1	1	0	2
Ivan_Skobrev	27	Russia	2010	2/28/10	Speed_Skating	0	1	1	2
Mark_Tuitert	29	Netherlands	2010	2/28/10	Speed_Skating	1	0	1	2
Joey_Cheek	26	United_States	2006	2/26/06	Speed_Skating	1	1	0	2
Shani_Davis	23	United_States	2006	2/26/06	Speed_Skating	1	1	0	2
Anni_Friesinger-Postma	29	Germany	2006	2/26/06	Speed_Skating	1	0	1	2
Kristina_Groves	29	Canada	2006	2/26/06	Speed_Skating	0	2	0	2
Clara_Hughes	33	Canada	2006	2/26/06	Speed_Skating	1	1	0	2
Sven_Kramer	19	Netherlands	2006	2/26/06	Speed_Skating	0	1	1	2
Claudia_Pechstein	33	Germany	2006	2/26/06	Speed_Skating	1	1	0	2
Carl_Verheijen	30	Netherlands	2006	2/26/06	Speed_Skating	0	0	2	2
Erben_Wennemars	30	Netherlands	2006	2/26/06	Speed_Skating	0	0	2	2
Ireen_Wüst	19	Netherlands	2006	2/26/06	Speed_Skating	1	0	1	2
Derek_Parra	31	United_States	2002	2/24/02	Speed_Skating	1	1	0	2
Claudia_Pechstein	29	Germany	2002	2/24/02	Speed_Skating	2	0	0	2
Jennifer_Rodriguez	25	United_States	2002	2/24/02	Speed_Skating	0	0	2	2
Simon_Ammann	28	Switzerland	2010	2/28/10	Ski_Jumping	2	0	0	2
Adam_Malysz	32	Poland	2010	2/28/10	Ski_Jumping	0	2	0	2
Matti_Hautamäki	24	Finland	2006	2/26/06	Ski_Jumping	0	2	0	2
Andreas_Kofler	21	Austria	2006	2/26/06	Ski_Jumping	1	1	0	2
Roar_Ljøkelsøy	29	Norway	2006	2/26/06	Ski_Jumping	0	0	2	2
Thomas_Morgenstern	19	Austria	2006	2/26/06	Ski_Jumping	2	0	0	2
Simon_Ammann	20	Switzerland	2002	2/24/02	Ski_Jumping	2	0	0	2
Sven_Hannawald	27	Germany	2002	2/24/02	Ski_Jumping	1	1	0	2
Matti_Hautamäki	20	Finland	2002	2/24/02	Ski_Jumping	0	1	1	2
Adam_Malysz	24	Poland	2002	2/24/02	Ski_Jumping	0	1	1	2
Niccolò_Campriani	24	Italy	2012	8/12/12	Shooting	1	1	0	2
Jin_Jong-O	32	South_Korea	2012	8/12/12	Shooting	2	0	0	2
Olena_Kostevych	27	Ukraine	2012	8/12/12	Shooting	0	0	2	2
